cell,Irr,Richness,Landuse
1.90606e-319,0.007,2,ForestDryPoor
1.9061e-319,0.007,2,ForestDryPoor
1.90615e-319,0.007,2,ForestDryPoor
1.9062e-319,0.007,2,ForestDryPoor
1.90625e-319,0.007,2,ForestDryPoor
1.9063e-319,0.007,2,ForestDryPoor
1.90635e-319,0.007,2,ForestDryPoor
1.9064e-319,0.007,2,ForestDryPoor
1.90645e-319,0.007,2,ForestDryPoor
1.9065e-319,0.007,2,ForestDryPoor
1.90655e-319,0.007,2,ForestDryPoor
1.9066e-319,0.007,2,ForestDryPoor
1.90665e-319,0.007,2,ForestDryPoor
1.9067e-319,0.007,2,ForestDryPoor
1.90774e-319,0.007,2,ForestDryPoor
1.9078e-319,0.007,2,ForestDryPoor
1.90783e-319,0.007,2,ForestDryPoor
1.9079e-319,0.007,2,ForestDryPoor
1.90793e-319,0.007,2,ForestDryPoor
1.908e-319,0.007,2,ForestDryPoor
1.90803e-319,0.007,2,ForestDryPoor
1.9081e-319,0.007,2,ForestDryPoor
1.90813e-319,0.007,2,ForestDryPoor
1.9082e-319,0.007,2,ForestDryPoor
1.90823e-319,0.008333333333333333,3,ForestDryPoor
1.9083e-319,0.008333333333333333,3,ForestDryPoor
1.90833e-319,0.0125,2,ForestDryPoor
1.9084e-319,0.0036666666666666666,3,ForestDryPoor
1.90843e-319,0.0036666666666666666,3,ForestDryPoor
1.9085e-319,0.0036666666666666666,3,ForestDryPoor
1.90853e-319,0.0036666666666666666,3,ForestDryPoor
1.9086e-319,0.0036666666666666666,3,ForestDryPoor
1.90862e-319,0.0036666666666666666,3,ForestDryPoor
1.90867e-319,0.0036666666666666666,3,ForestDryPoor
1.9087e-319,0.0036666666666666666,3,ForestDryPoor
1.90877e-319,0.0036666666666666666,3,ForestDryPoor
1.9088e-319,0.0036666666666666666,3,ForestDryPoor
1.90887e-319,0.0036666666666666666,3,ForestDryPoor
1.9089e-319,0.0036666666666666666,3,ForestDryPoor
1.90897e-319,0.0036666666666666666,3,ForestDryPoor
1.909e-319,0.00575,4,ForestDryPoor
1.90907e-319,0.00575,4,ForestDryPoor
1.9091e-319,0.00575,4,ForestDryPoor
1.90917e-319,0.0132,5,ForestDryPoor
1.9092e-319,0.0132,5,ForestDryPoor
1.90927e-319,0.0132,5,ForestDryPoor
1.9093e-319,0.011499999999999998,6,ForestDryPoor
1.90937e-319,0.011499999999999998,6,ForestDryPoor
1.9094e-319,0.011499999999999998,6,ForestDryPoor
1.90946e-319,0.011499999999999998,6,ForestDryPoor
1.9095e-319,0.011499999999999998,6,ForestDryPoor
1.90956e-319,0.011499999999999998,6,ForestDryPoor
1.9096e-319,0.011499999999999998,6,ForestDryPoor
1.90966e-319,0.011499999999999998,6,ForestDryPoor
1.9348e-319,0.007,2,ForestDryPoor
1.93486e-319,0.007,2,ForestDryPoor
1.9349e-319,0.007,2,ForestDryPoor
1.93496e-319,0.007,2,ForestDryPoor
1.935e-319,0.007,2,ForestDryPoor
1.93506e-319,0.007,2,ForestDryPoor
1.9351e-319,0.007,2,ForestDryPoor
1.93516e-319,0.007,2,ForestDryPoor
1.9352e-319,0.007,2,ForestDryPoor
1.93526e-319,0.007,2,ForestDryPoor
1.9353e-319,0.007,2,ForestDryPoor
1.93535e-319,0.007,2,ForestDryPoor
1.9354e-319,0.007,2,ForestDryPoor
1.93545e-319,0.007,2,ForestDryPoor
1.9355e-319,0.007,2,ForestDryPoor
1.93555e-319,0.007,2,ForestDryPoor
1.9356e-319,0.007,2,ForestDryPoor
1.93565e-319,0.007,2,ForestDryPoor
1.9357e-319,0.007,2,ForestDryPoor
1.93575e-319,0.007,2,ForestDryPoor
1.9358e-319,0.007,2,ForestDryPoor
1.93585e-319,0.007,2,ForestDryPoor
1.9359e-319,0.007,2,ForestDryPoor
1.93595e-319,0.007,2,ForestDryPoor
1.936e-319,0.007,2,ForestDryPoor
1.93605e-319,0.007,2,ForestDryPoor
1.9361e-319,0.007,2,ForestDryPoor
1.93614e-319,0.007,2,ForestDryPoor
1.9362e-319,0.007,2,ForestDryPoor
1.93624e-319,0.007,2,ForestDryPoor
1.9363e-319,0.007,2,ForestDryPoor
1.93733e-319,0.007,2,ForestDryPoor
1.9374e-319,0.007,2,ForestDryPoor
1.93743e-319,0.007,2,ForestDryPoor
1.9375e-319,0.007,2,ForestDryPoor
